Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 0 (Female),0.133,1,4,00:00,00:00
WingExt,Fly 1 (Male),0.267,9,16,00:00,00:01
Circling,Fly 0 (Female),0.4,15,26,00:00,00:01
WingExt,Fly 1 (Male),0.133,108,111,00:04,00:04
WingExt,Fly 0 (Female),0.1,115,117,00:04,00:04
Circling,Fly 0 (Female),0.4,143,154,00:05,00:05
WingExt,Fly 1 (Male),0.1,146,148,00:05,00:05
WingExt,Fly 1 (Male),0.133,167,170,00:06,00:06
WingExt,Fly 1 (Male),0.1,183,185,00:06,00:06
WingExt,Fly 0 (Female),0.133,198,201,00:07,00:07
WingExt,Fly 1 (Male),0.1,224,226,00:07,00:08
WingExt,Fly 1 (Male),0.133,242,245,00:08,00:08
WingExt,Fly 1 (Male),0.1,324,326,00:11,00:11
WingExt,Fly 1 (Male),0.167,328,332,00:11,00:11
WingExt,Fly 1 (Male),0.133,367,370,00:12,00:12
WingExt,Fly 1 (Male),0.1,372,374,00:12,00:12
WingExt,Fly 0 (Female),0.1,460,462,00:15,00:15
Circling,Fly 1 (Male),0.367,482,492,00:16,00:16
WingExt,Fly 1 (Male),0.1,503,505,00:17,00:17
WingExt,Fly 0 (Female),0.1,524,526,00:17,00:18
Circling,Fly 1 (Male),0.3,539,547,00:18,00:18
WingExt,Fly 1 (Male),0.1,598,600,00:20,00:20
WingExt,Fly 1 (Male),0.1,602,604,00:20,00:20
WingExt,Fly 1 (Male),0.1,614,616,00:20,00:21
WingExt,Fly 0 (Female),0.1,617,619,00:21,00:21
WingExt,Fly 0 (Female),0.133,624,627,00:21,00:21
WingExt,Fly 0 (Female),0.167,651,655,00:22,00:22
WingExt,Fly 1 (Male),0.2,677,682,00:23,00:23
WingExt,Fly 1 (Male),0.1,696,698,00:23,00:23
WingExt,Fly 0 (Female),0.133,699,702,00:23,00:23
WingExt,Fly 1 (Male),0.1,700,702,00:23,00:23
Circling,Fly 0 (Female),0.367,726,736,00:24,00:25
WingExt,Fly 1 (Male),0.133,733,736,00:24,00:25
Circling,Fly 1 (Male),0.533,766,781,00:26,00:26
Circling,Fly 0 (Female),0.433,777,789,00:26,00:26
WingExt,Fly 0 (Female),0.1,807,809,00:27,00:27
WingExt,Fly 0 (Female),0.3,811,819,00:27,00:27
WingExt,Fly 1 (Male),0.167,825,829,00:28,00:28
WingExt,Fly 1 (Male),0.133,831,834,00:28,00:28
WingExt,Fly 1 (Male),0.1,839,841,00:28,00:28
WingExt,Fly 1 (Male),0.167,858,862,00:29,00:29
WingExt,Fly 1 (Male),0.1,884,886,00:29,00:30
Attempted_Copulation,Fly 0 (Female),0.233,884,890,00:29,00:30
WingExt,Fly 0 (Female),0.333,911,920,00:30,00:31
WingExt,Fly 0 (Female),0.167,924,928,00:31,00:31
WingExt,Fly 1 (Male),0.133,938,941,00:31,00:31
WingExt,Fly 0 (Female),0.1,944,946,00:31,00:32
WingExt,Fly 0 (Female),0.1,948,950,00:32,00:32
WingExt,Fly 1 (Male),0.1,948,950,00:32,00:32
WingExt,Fly 1 (Male),0.167,952,956,00:32,00:32
WingExt,Fly 1 (Male),0.167,963,967,00:32,00:32
WingExt,Fly 0 (Female),0.2,977,982,00:33,00:33
WingExt,Fly 0 (Female),0.133,986,989,00:33,00:33
WingExt,Fly 0 (Female),0.333,995,1004,00:33,00:33
WingExt,Fly 1 (Male),0.133,1001,1004,00:33,00:33
WingExt,Fly 0 (Female),0.2,1016,1021,00:34,00:34
WingExt,Fly 1 (Male),0.133,1020,1023,00:34,00:34
WingExt,Fly 0 (Female),0.167,1037,1041,00:35,00:35
WingExt,Fly 0 (Female),0.233,1069,1075,00:36,00:36
Circling,Fly 1 (Male),0.367,1069,1079,00:36,00:36
WingExt,Fly 0 (Female),0.133,1077,1080,00:36,00:36
