Behavior,Fly,Duration (s),Start_Frame,End_Frame,Start_Time (mm:ss),End_Time (mm:ss)
WingExt,Fly 1 (Female),0.1,6,8,00:00,00:00
WingExt,Fly 0 (Male),0.233,48,54,00:02,00:02
Circling,Fly 1 (Female),0.367,125,135,00:04,00:04
WingExt,Fly 1 (Female),0.167,147,151,00:05,00:05
WingExt,Fly 0 (Male),0.1,161,163,00:05,00:05
WingExt,Fly 1 (Female),0.167,179,183,00:06,00:06
WingExt,Fly 0 (Male),0.133,298,301,00:10,00:10
WingExt,Fly 0 (Male),0.233,316,322,00:11,00:11
WingExt,Fly 1 (Female),0.1,347,349,00:12,00:12
WingExt,Fly 0 (Male),0.1,350,352,00:12,00:12
WingExt,Fly 0 (Male),0.1,372,374,00:12,00:12
WingExt,Fly 0 (Male),0.1,397,399,00:13,00:13
WingExt,Fly 1 (Female),0.167,400,404,00:13,00:13
WingExt,Fly 1 (Female),0.233,429,435,00:14,00:14
WingExt,Fly 0 (Male),0.167,467,471,00:16,00:16
WingExt,Fly 1 (Female),0.333,471,480,00:16,00:16
WingExt,Fly 1 (Female),0.133,516,519,00:17,00:17
Circling,Fly 0 (Male),0.333,540,549,00:18,00:18
WingExt,Fly 1 (Female),0.1,558,560,00:19,00:19
WingExt,Fly 1 (Female),0.1,599,601,00:20,00:20
Circling,Fly 0 (Male),0.333,601,610,00:20,00:20
WingExt,Fly 0 (Male),0.133,617,620,00:21,00:21
WingExt,Fly 1 (Female),0.1,622,624,00:21,00:21
WingExt,Fly 0 (Male),0.1,640,642,00:21,00:21
WingExt,Fly 1 (Female),0.2,687,692,00:23,00:23
WingExt,Fly 1 (Female),0.133,701,704,00:23,00:23
WingExt,Fly 1 (Female),0.133,788,791,00:26,00:26
WingExt,Fly 1 (Female),0.133,804,807,00:27,00:27
WingExt,Fly 1 (Female),0.367,812,822,00:27,00:27
WingExt,Fly 1 (Female),0.1,824,826,00:27,00:28
WingExt,Fly 1 (Female),0.167,829,833,00:28,00:28
Circling,Fly 1 (Female),0.433,836,848,00:28,00:28
WingExt,Fly 1 (Female),0.1,889,891,00:30,00:30
WingExt,Fly 0 (Male),0.1,973,975,00:32,00:32
